date,line_id,items,model,destination,assign_no,detail
2024.08.14 วันพุธ ,T,เบิก บอร์ดจอ 800H 1ตัวครับ (รุ่นสายไฟเส้นเล็ก) เบิก จอ LCD (เผื่อ ไม่ใช่คืนครับ) ,CM800H,,2083241331,08:41 T Tee 13/08/2024 (2083241331) Makro บางพลี CM-800H//32006034 ปุ่มแบทกดไม่ได้ โทร.0800784685 คุณกัลยา เบิก บอร์ดจอ 800H 1ตัวครับ (รุ่นสายไฟเส้นเล็ก) เบิก จอ LCD (เผื่อ ไม่ใช่คืนครับ)  
2024.08.14 วันพุธ ,Tayan,เบิกมอเตอร์ปั๊ม 1 ตัว ส่ง ลงบ้านโป่งครับ ,CM800H,ลงบ้านโป่งครับ 14/8/67 ,1086241402,09:03 Tayan Kbank 14/8/24 1086241402  : 0474CH - ศูนย์เงินสด ถนนเพชรเกษม นครปฐม  : : เครื่องปั่นเงิน ยี่ห้อ Cashmate. Serail No. 31711048 อาการ : ไม่สามารถปั่นเงินได้ เบิกมอเตอร์ปั๊ม 1 ตัว ส่ง ลงบ้านโป่งครับ 14/8/67  
2024.08.14 วันพุธ ,tOn’,,,,,09:04 tOn’ ยกเลิกข้อความ  
2024.08.14 วันพุธ ,tOn’,เบิกบอร์ดfront 1แผ่น ถ้าไม่มี เบิกเครื่องแทน 1เครื่อง ส่งรถตู้ ลงระยองครับ ,NTV,ลงระยองครับ ,1086241401,09:07 tOn’ Kbank 14/8/24 1086241401  : 0140 - ระยอง  : แจ้งซ่อมเครื่องโรยเงิน ฝั่งแคชเชียร์ หน้าจอไม่แสดงผล PD8762 เบิกบอร์ดfront 1แผ่น ถ้าไม่มี เบิกเครื่องแทน 1เครื่อง ส่งรถตู้ ลงระยองครับ  
2024.08.14 วันพุธ ,noptana:-),เบิกแกนเลื่อนธนบัตร ขวา2อันครับ ขอเลขซ่อมกสิกรไทย สาขาบิ๊กซีบางใหญ่เครื่อง kisan newton v snN15a01-pd9152 แกนเลื่อนตัวกันธนบัตรหัก (1077243005) ,NTV,,1077243005 sn?,09:15 noptana:-) เบิกแกนเลื่อนธนบัตร ขวา2อันครับ ขอเลขซ่อมกสิกรไทย สาขาบิ๊กซีบางใหญ่เครื่อง kisan newton v snN15a01-pd9152 แกนเลื่อนตัวกันธนบัตรหัก (1077243005)  
2024.08.14 วันพุธ ,noptana:-),เบิกสายเชื่อมต่อ1เส้น ,,,1083240608 sn?,09:20 noptana:-) เบิกสายเชื่อมต่อ1เส้น 6/08/2024 (1083240608) กสิกร สาขาราชวัตร ระบบงาน BarcodeReader อาการ สายเชื่อมต่อชำรุด ช่อง9 พนักงาน : ภิชนก นวลศรี Tel. : 0854860608 INCS000000484558 *ปิดงานก่อน 2024-08-07 10.50*  
2024.08.14 วันพุธ ,noptana:-),,,,,09:21 noptana:-) @manoch  
2024.08.14 วันพุธ ,nattapon,เบิก ถาดรีเจค 1 อัน ส่ง ลงแพร่ค้าบ ,K2,ลงแพร่ค้าบ ,1083240703,09:44 nattapon 7/08/2024 (1083240703) KTB เขลางค์นคร K2//N17B01-T08224 นับตกรีเจค โทร.087-5441294 คุณสุนันทา เบิก ถาดรีเจค 1 อัน ส่ง ลงแพร่ค้าบ  
2024.08.14 วันพุธ ,อ้วน,เบิก power 1 อัน*** ,JB-3008F+,,1087241403,09:57 อ้วน ขอเลขที่ซ่อม Scbรามคำแหง 2 เครื่อง jb3008f+ หน้าจอค้างlogo เจอตอน ma (1087241403) @อ้วน *** เบิก power 1 อัน***  
2024.08.14 วันพุธ ,อ้วน,,,,,09:58 อ้วน รูป  
2024.08.14 วันพุธ ,อ้วน,,,ส่ง อีก 1 ชุด ,,10:04 อ้วน เพิ่มหน้ายางรับ+ ส่ง อีก 1 ชุด  
2024.08.14 วันพุธ ,Piroon,เบิก หน้าจอหลัก 1 อัน ,NTV,ฝากพี่ แหม่มครับ ,1086241404,10:05 Piroon Kbank 14/8/24 1086241404  : 0050 - เซียงกง  : เครื่องนับธนบัตรเล็ก (โรยเงิน)ค้าง เวลาปั่นเงินเเล้วเครื่องดีเรย์ NEWTON+V N14J08-PD4035 เบิก หน้าจอหลัก 1 อัน ฝากพี่ แหม่มครับ  
2024.08.14 วันพุธ ,AKARAPONG.,เบิก ชุดลูกกลิ้ง ส่งกระดาษ ตามรูปครับ ,PASSBOOK,ฝากริน ,1083241327,11:38 AKARAPONG. AK. 13/08/2024 (1083241327) กสิกร สาขาฟิวเจอร์ พาร์ค รังสิต 2 ระบบงาน passbook // RHS-T12-117474 อาการ ไม่ดึงกระดาษ ช่อง2 พนักงาน วรรษพล ธีรธำรงภูมิ เบอร์ติดต่อ : 0854861786 INCS000000489749 *ปิดงานก่อน 2024-08-14 11.30* เบิก ชุดลูกกลิ้ง ส่งกระดาษ ตามรูปครับ ฝากริน  
2024.08.14 วันพุธ ,AKARAPONG.,,,,,11:38 AKARAPONG. AK. รูป  
2024.08.14 วันพุธ ,AKARAPONG.,,,,,11:40 AKARAPONG. AK. เพิ่ม ไมระบาร์ 1 แผ่นครับ  
2024.08.14 วันพุธ ,AKARAPONG.,,,,,11:46 AKARAPONG. AK. เพิ่ม Sensor ตลับหมึก 1 ชิ้นครับ  
2024.08.14 วันพุธ ,AKARAPONG.,,,,,11:46 AKARAPONG. AK. รูป  
2024.08.14 วันพุธ ,nattapon,เบิก ตัวกั้นรีเจคพร้อมสปริง 1 คู่ รอนสัน 1 กระป๋อง โซนิค 1 ส่ง ลงแพร่ค้าบ ,NT3,ลงแพร่ค้าบ ,1086241412,11:58 nattapon (ขอเลขแจ้งซ่อม)14/8/24 SCB น่าน โทร.054711341-2 คุณธนภัทร NEWTON 3/ N19H01-B09742 อาการ ตัวกั้นรีเจคหัก 14/8/24 1086241412 เบิก ตัวกั้นรีเจคพร้อมสปริง 1 คู่ รอนสัน 1 กระป๋อง โซนิค 1 ส่ง ลงแพร่ค้าบ  
